600	0,133333333	0,266666667	0,28	0,213333333	0,2	0,213333333	0,2	0,226666667	0,266666667	0,186666667	0,213333333	0,173333333	0,2	0,253333333	0,146666667	0,253333333	0,186666667	0,173333333	0,106666667	0,2	0,133333333	0,28	0,213333333	0,253333333	0,173333333	0,213333333	0,16	0,266666667	0,226666667	0,266666667	0,213333333	0,24	0,226666667	0,173333333	0,333333333	0,226666667	0,186666667	0,16	0,226666667	0,266666667	0,24	0,213333333	0,146666667	0,173333333	0,24	0,266666667	0,226666667	0,173333333	0,106666667	0,28	0,212
650	0,283076923	0,184615385	0,16	0,184615385	0,233846154	0,147692308	0,123076923	0,233846154	0,16	0,233846154	0,270769231	0,16	0,16	0,16	0,356923077	0,221538462	0,295384615	0,123076923	0,283076923	0,184615385	0,209230769	0,196923077	0,098461538	0,196923077	0,147692308	0,16	0,184615385	0,233846154	0,283076923	0,270769231	0,135384615	0,283076923	0,184615385	0,258461538	0,221538462	0,172307692	0,209230769	0,16	0,233846154	0,209230769	0,270769231	0,233846154	0,147692308	0,221538462	0,270769231	0,184615385	0,184615385	0,184615385	0,172307692	0,196923077	0,205538462
700	0,217142857	0,228571429	0,16	0,228571429	0,217142857	0,194285714	0,171428571	0,24	0,16	0,148571429	0,205714286	0,171428571	0,194285714	0,182857143	0,171428571	0,205714286	0,24	0,205714286	0,217142857	0,194285714	0,205714286	0,24	0,171428571	0,205714286	0,137142857	0,251428571	0,194285714	0,308571429	0,182857143	0,194285714	0,228571429	0,228571429	0,16	0,217142857	0,194285714	0,297142857	0,16	0,262857143	0,228571429	0,137142857	0,182857143	0,354285714	0,217142857	0,217142857	0,228571429	0,228571429	0,148571429	0,274285714	0,228571429	0,251428571	0,209828571
750	0,277333333	0,106666667	0,224	0,245333333	0,277333333	0,202666667	0,16	0,213333333	0,181333333	0,288	0,170666667	0,288	0,202666667	0,213333333	0,245333333	0,181333333	0,128	0,170666667	0,224	0,266666667	0,181333333	0,202666667	0,192	0,245333333	0,181333333	0,213333333	0,234666667	0,277333333	0,224	0,202666667	0,170666667	0,224	0,298666667	0,170666667	0,170666667	0,181333333	0,149333333	0,256	0,138666667	0,277333333	0,128	0,138666667	0,192	0,149333333	0,224	0,192	0,288	0,181333333	0,213333333	0,224	0,207786667
800	0,16	0,25	0,19	0,15	0,14	0,21	0,13	0,22	0,2	0,21	0,2	0,16	0,14	0,24	0,27	0,16	0,19	0,23	0,25	0,16	0,23	0,22	0,28	0,16	0,18	0,19	0,08	0,24	0,27	0,14	0,25	0,25	0,16	0,17	0,18	0,22	0,12	0,14	0,14	0,34	0,24	0,21	0,13	0,24	0,25	0,16	0,19	0,22	0,24	0,19	0,1978
850	0,244705882	0,178823529	0,131764706	0,178823529	0,197647059	0,178823529	0,188235294	0,141176471	0,16	0,178823529	0,244705882	0,150588235	0,207058824	0,207058824	0,225882353	0,122352941	0,197647059	0,150588235	0,216470588	0,263529412	0,188235294	0,141176471	0,131764706	0,188235294	0,103529412	0,216470588	0,216470588	0,178823529	0,131764706	0,150588235	0,254117647	0,197647059	0,197647059	0,235294118	0,150588235	0,16	0,197647059	0,169411765	0,263529412	0,16	0,207058824	0,197647059	0,178823529	0,188235294	0,216470588	0,178823529	0,169411765	0,216470588	0,178823529	0,122352941	0,185035294
900	0,204444444	0,177777778	0,284444444	0,231111111	0,24	0,186666667	0,195555556	0,168888889	0,222222222	0,213333333	0,124444444	0,168888889	0,142222222	0,186666667	0,231111111	0,213333333	0,142222222	0,204444444	0,222222222	0,222222222	0,24	0,275555556	0,293333333	0,204444444	0,231111111	0,168888889	0,168888889	0,168888889	0,177777778	0,186666667	0,16	0,222222222	0,222222222	0,248888889	0,204444444	0,204444444	0,248888889	0,213333333	0,213333333	0,186666667	0,124444444	0,177777778	0,204444444	0,248888889	0,168888889	0,177777778	0,168888889	0,177777778	0,231111111	0,24	0,202844444
950	0,193684211	0,134736842	0,303157895	0,218947368	0,176842105	0,185263158	0,168421053	0,244210526	0,210526316	0,16	0,261052632	0,210526316	0,252631579	0,168421053	0,176842105	0,109473684	0,294736842	0,252631579	0,193684211	0,176842105	0,168421053	0,227368421	0,176842105	0,235789474	0,151578947	0,261052632	0,202105263	0,168421053	0,218947368	0,176842105	0,202105263	0,168421053	0,218947368	0,193684211	0,193684211	0,202105263	0,252631579	0,218947368	0,202105263	0,210526316	0,168421053	0,244210526	0,227368421	0,168421053	0,294736842	0,202105263	0,193684211	0,16	0,16	0,269473684	0,204631579
1000	0,208	0,152	0,136	0,264	0,232	0,152	0,208	0,144	0,136	0,232	0,128	0,152	0,192	0,192	0,216	0,16	0,256	0,208	0,192	0,224	0,144	0,136	0,208	0,136	0,232	0,232	0,224	0,2	0,184	0,224	0,136	0,096	0,216	0,152	0,184	0,208	0,176	0,152	0,16	0,16	0,144	0,176	0,184	0,208	0,224	0,152	0,192	0,2	0,224	0,216	0,18528
1050	0,19047619	0,243809524	0,236190476	0,12952381	0,182857143	0,220952381	0,220952381	0,205714286	0,28952381	0,266666667	0,106666667	0,182857143	0,213333333	0,236190476	0,205714286	0,19047619	0,121904762	0,259047619	0,16	0,228571429	0,259047619	0,259047619	0,220952381	0,16	0,175238095	0,228571429	0,205714286	0,152380952	0,259047619	0,198095238	0,243809524	0,182857143	0,198095238	0,12952381	0,213333333	0,213333333	0,16	0,167619048	0,205714286	0,19047619	0,297142857	0,228571429	0,243809524	0,19047619	0,175238095	0,19047619	0,182857143	0,137142857	0,243809524	0,213333333	0,204342857
