750	12,11733333	12,11733333	12,032	11,66933333	12,24533333	11,98933333	12,096	11,69066667	12,288	11,88266667	11,86133333	12,26666667	12,16	12,24533333	11,904	11,968	12,65066667	12,39466667	12,07466667	11,98933333	11,88266667	12,05333333	11,94666667	12,39466667	11,776	12,032	12,26666667	12,07466667	11,88266667	11,712	12,01066667	12,26666667	12,352	11,776	11,54133333	12,672	12,416	11,56266667	11,66933333	12,01066667	11,69066667	12,07466667	11,73333333	12,032	11,712	12,288	12,032	11,43466667	11,73333333	11,92533333	12,01194667
800	12,08	11,74	11,9	12,02	12,08	11,5	11,76	11,86	11,74	12,18	11,72	11,62	12,24	11,98	11,9	11,82	12,08	11,94	11,98	12,2	11,94	11,9	11,94	12,24	12,14	11,7	11,56	12,2	12,28	11,8	11,44	12	11,68	11,78	12,24	11,96	12	11,9	12	12,02	11,82	12,4	12,48	11,9	11,08	12,32	11,98	11,94	12,4	12,38	11,9552
850	11,68941176	11,74588235	12,08470588	11,40705882	11,67058824	12,27294118	11,85882353	12,06588235	11,85882353	11,59529412	12,34823529	12,21647059	12,23529412	12,27294118	11,76470588	11,89647059	11,84	11,84	11,89647059	12,17882353	12,44235294	11,68941176	11,91529412	11,82117647	12,00941176	12,00941176	11,80235294	11,78352941	12,31058824	12,08470588	11,91529412	12,21647059	11,91529412	11,76470588	12,17882353	11,57647059	12,12235294	12,08470588	11,84	11,84	12,02823529	11,63294118	12,21647059	11,55764706	12,36705882	12,06588235	12,17882353	11,76470588	12,14117647	11,84	11,95708235
900	12,55111111	12,65777778	12,37333333	12,42666667	12,08888889	12,10666667	12,05333333	12,32	12,19555556	11,85777778	12,24888889	12,14222222	12,07111111	11,66222222	11,94666667	11,96444444	11,84	11,53777778	12,14222222	12,08888889	12,10666667	11,57333333	12,37333333	11,75111111	12,42666667	11,82222222	12,16	11,94666667	11,82222222	11,64444444	12	11,96444444	12,17777778	12,01777778	11,73333333	12,05333333	12,16	12,16	12	11,94666667	12,19555556	12,44444444	12,28444444	11,92888889	12,01777778	11,98222222	11,71555556	12,16	11,82222222	11,59111111	12,04515556
950	12,27789474	11,84	12,29473684	11,35157895	12,21052632	12,04210526	12,16	12,12631579	12,10947368	12,49684211	11,92421053	11,94105263	12,09263158	11,82315789	12,12631579	12,34526316	12,39578947	11,97473684	12,22736842	11,80631579	12,12631579	11,99157895	12,12631579	11,58736842	12,14315789	12,09263158	12,26105263	12,12631579	12,12631579	11,99157895	11,78947368	11,95789474	11,97473684	11,70526316	12,19368421	12,02526316	12,17684211	11,80631579	12,12631579	11,53684211	12,21052632	12,09263158	11,97473684	11,57052632	11,97473684	11,72210526	11,90736842	11,94105263	11,99157895	11,99157895	12,01616842
1000	12,128	12,256	11,776	11,936	11,792	12,128	12,192	11,824	12,064	12,224	12,112	11,744	12,464	11,952	11,76	12	12,048	11,952	11,744	12,08	12	11,952	11,808	12,304	12,176	11,776	12	11,936	12,112	12,576	12,288	11,888	12,176	12,192	12,096	12,496	11,952	12,208	12,416	11,984	12,288	12,592	11,568	12,288	11,744	12,144	11,744	12,048	12,064	12,24	12,06464
1050	11,56571429	12,09904762	12,03809524	11,99238095	11,87047619	12,11428571	11,87047619	11,91619048	12,1447619	11,73333333	11,84	12,00761905	12,03809524	11,90095238	12,06857143	12,22095238	11,91619048	12,06857143	11,39809524	11,8247619	11,70285714	12,03809524	11,52	11,67238095	11,8552381	11,64190476	12,05333333	11,94666667	11,74857143	12,05333333	12,00761905	12,08380952	11,91619048	11,90095238	12,05333333	12,26666667	11,70285714	12,1447619	12,03809524	11,90095238	11,79428571	12,16	12,38857143	12,26666667	11,91619048	12,23619048	12,1447619	11,88571429	12,12952381	12,23619048	11,96068571
1100	11,88363636	11,92727273	12,34909091	11,76727273	11,79636364	12,14545455	11,88363636	11,95636364	12,10181818	11,85454545	12,37818182	12,02909091	12,14545455	11,81090909	11,76727273	11,92727273	11,88363636	12,05818182	12,01454545	11,95636364	11,79636364	11,69454545	12,10181818	12,02909091	11,62181818	12,07272727	12,16	11,70909091	12,17454545	11,79636364	12,23272727	12,13090909	12,08727273	12,08727273	12,07272727	11,79636364	11,44727273	12,05818182	11,60727273	11,97090909	12,14545455	11,91272727	12,08727273	11,88363636	12,29090909	12,02909091	11,92727273	11,59272727	11,94181818	11,73818182	11,95665455
1150	12,11826087	12,16	12,41043478	11,85391304	11,72869565	12,0626087	12,09043478	11,7426087	11,63130435	11,90956522	12,28521739	12,00695652	11,86782609	11,9373913	12,22956522	11,90956522	12,22956522	12,39652174	11,79826087	12,14608696	11,7426087	11,50608696	12,29913043	12,13217391	11,99304348	11,88173913	12,0626087	12,09043478	12,09043478	11,71478261	12,42434783	11,9373913	11,82608696	12,07652174	12,29913043	12,56347826	11,81217391	12,0626087	11,89565217	11,95130435	12,04869565	12,03478261	11,63130435	11,99304348	12,16	12,11826087	11,77043478	11,90956522	11,68695652	12,28521739	12,01029565
1200	12	12,09333333	12,09333333	12,06666667	12,14666667	12,05333333	12,05333333	11,94666667	11,98666667	11,97333333	12,34666667	11,73333333	11,76	11,57333333	11,97333333	11,77333333	11,86666667	11,64	11,90666667	11,88	11,42666667	11,82666667	11,85333333	12	12,21333333	12,13333333	12,28	12,16	12,17333333	12,16	11,94666667	11,82666667	12,25333333	11,76	11,98666667	11,93333333	12,05333333	11,92	11,76	11,89333333	11,98666667	11,69333333	12,02666667	11,85333333	11,90666667	12,37333333	11,98666667	12,34666667	12,37333333	11,96	11,97866667
